repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_backdated_date,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214
79452164,8097463,43833.31,35306,22/08/2025,98635,,,,,,20833.33,20000.0,2999.98,0.0,22/08/2025 9:14am,,,63796,THM9FF77MN - 8097463
79452176,8867867,0.69,35306,22/08/2025,98635,,,,,,0.0,0.69,0.0,0.0,22/08/2025 9:14am,,,63796,THM9FF77MN - 8867867
79463531,7414765,50000.0,35306,21/08/2025,98635,,,,,,4606.03,42400.0,2993.97,0.0,22/08/2025 10:20am,,,63796,THL0DP258M - 7414765
79467202,8474401,30000.0,35306,22/08/2025,98635,,,,,,15000.0,12000.0,3000.0,0.0,22/08/2025 10:37am,,,63796,THM4FTIVIS - 8474401
79480893,8869243,54516.0,35306,22/08/2025,97256,0.0,,0.0,0.0,0.0,42053.33,9462.0,3000.67,0.0,22/08/2025 11:31am,,0.0,63796,THM4FWH97Y
79499656,7730780,3929.0,35306,22/08/2025,97256,0.0,,0.0,0.0,0.0,3928.45,0.0,0.55,0.0,22/08/2025 1:46pm,,0.0,63796,THM9GF3FRX
79514328,8474401,10000.0,35306,22/08/2025,98635,,,,,,10000.0,0.0,0.0,0.0,22/08/2025 4:04pm,,,63796,THM5HMNT4P - 8474401
79516713,8870043,2000.0,35306,22/08/2025,98635,,,,,,2000.0,0.0,0.0,0.0,22/08/2025 5:55pm,,,63796,THM9IEQ3H1 - 8870043
79516839,8642682,24000.0,35306,22/08/2025,98635,,,,,,7596.75,12840.0,2760.75,802.5,22/08/2025 6:09pm,,,63796,THM4IHIHZY - 8642682
79517369,7216904,3000.0,35306,22/08/2025,98635,,,,,,2998.83,0.0,1.17,0.0,22/08/2025 6:34pm,,,63796,THM0IM9EBG - 7216904
79518643,8958570,500.0,35306,22/08/2025,98635,,,,,,0.0,0.0,500.0,0.0,22/08/2025 8:32pm,,,63796,THM3IZMLRF - 8958570
79519654,8482665,15147.0,35306,23/08/2025,98635,,,,,,12539.0,2508.0,100.0,0.0,22/08/2025 10:22pm,,,63796,THN1J3V11B - 8482665
79519655,8482667,125500.0,35306,23/08/2025,98635,,,,,,62500.0,60000.0,3000.0,0.0,22/08/2025 10:22pm,,,63796,THN1J3V11B - 8482667
79520871,8204234,0.0,35306,23/08/2025,97255,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23/08/2025 10:30am,,0.0,63796,na-2
79521535,8276576,4443.0,35306,22/08/2025,97256,0.0,,0.0,0.0,0.0,3619.0,724.0,100.0,0.0,23/08/2025 10:31am,,0.0,63796,THN5J9YSMX
79521990,8642682,19345.0,35306,23/08/2025,97255,0.0,,0.0,0.0,0.0,19153.25,0.0,0.22,191.53,25/08/2025 6:11am,,0.0,63796,THN6JU35G8 - 8642682
79521991,8642711,4480.0,35306,23/08/2025,91368,0.0,,0.0,0.0,0.0,3650.0,730.0,100.0,0.0,25/08/2025 6:11am,,0.0,63796,THN6JU35G8 - 8642711
79523695,8279030,5601.0,35306,23/08/2025,97256,0.0,,0.0,0.0,0.0,4584.0,917.0,100.0,0.0,23/08/2025 8:10am,,0.0,63796,THN9K8376Z
79523734,8279032,48534.0,35306,23/08/2025,97256,0.0,,0.0,0.0,0.0,39166.67,9367.01,0.32,0.0,23/08/2025 8:17am,,0.0,63796,THN9K8376Z-1
79550760,8671647,33625.0,35306,23/08/2025,98635,,,,,,25000.0,5625.0,3000.0,0.0,23/08/2025 2:14pm,,,63796,THN0M1F7WI - 8671647
79550847,8958570,1000.0,35306,23/08/2025,98635,,,,,,0.0,500.0,500.0,0.0,23/08/2025 2:22pm,,,63796,THN3M32IA3 - 8958570
79561834,8958570,900.0,35306,24/08/2025,98635,,,,,,0.0,900.0,0.0,0.0,24/08/2025 6:00pm,,,63796,THO9SDMLIH - 8958570
79562373,8849139,1400.0,35306,25/08/2025,98635,,,,,,1332.04,0.0,0.0,67.96,24/08/2025 10:09pm,,,63796,THP8SXYYA4 - 8849139
79565325,7414784,9453.0,35306,23/08/2025,91368,0.0,,0.0,0.0,0.0,7794.0,1559.0,100.0,0.0,25/08/2025 4:20am,,0.0,63796,THN7JII3IV
79565329,7414765,10547.0,35306,23/08/2025,91368,0.0,,0.0,0.0,0.0,10547.0,0.0,0.0,0.0,25/08/2025 4:22am,,0.0,63796,THN7JII3IV-1
79565489,7399158,15000.0,35306,23/08/2025,91368,0.0,,0.0,0.0,0.0,0.0,14250.0,0.0,750.0,25/08/2025 4:42am,,0.0,63796,THN0KVBWT2
79565722,8867867,37334.0,35306,25/08/2025,98635,,,,,,32588.03,3999.31,0.0,746.66,25/08/2025 5:06am,,,63796,THP4TC851Y - 8867867
79569097,8867867,754.0,35306,25/08/2025,91368,0.0,,0.0,0.0,0.0,745.3,8.7,0.0,0.0,25/08/2025 6:16am,,0.0,63796,THP2TK9OQY - 8867867
79569577,8669792,5702.65,35306,25/08/2025,98635,,,,,,5645.62,0.0,0.0,57.03,25/08/2025 6:17am,,,63796,THP2TMN2BA - 8669792
79569579,8669796,3297.35,35306,25/08/2025,98635,,,,,,1949.35,1248.0,100.0,0.0,25/08/2025 6:17am,,,63796,THP2TMN2BA - 8669796
79585682,7353006,18000.0,35306,25/08/2025,97256,0.0,,0.0,0.0,0.0,16444.14,0.0,75.9,1479.96,25/08/2025 8:52am,,0.0,63796,THP0UACSRI
79589507,7414765,20000.0,35306,25/08/2025,98635,,,,,,19125.28,0.0,0.0,874.72,25/08/2025 9:34am,,,63796,THP2UJ1JPS - 7414765
79616125,8849139,400.0,35306,25/08/2025,97256,0.0,,0.0,0.0,0.0,367.12,0.0,32.88,0.0,25/08/2025 11:41am,,0.0,63796,THP2V2WHFA
79649759,8644082,8217.34,35306,25/08/2025,98635,,,,,,6758.0,1352.0,107.34,0.0,25/08/2025 5:13pm,,,63796,THP7X9E2N1 - 8644082
79649760,8644089,31582.66,35306,25/08/2025,98635,,,,,,14583.33,14000.0,2999.33,0.0,25/08/2025 5:13pm,,,63796,THP7X9E2N1 - 8644089
79651604,8958570,900.0,35306,25/08/2025,98635,,,,,,0.0,900.0,0.0,0.0,25/08/2025 6:51pm,,,63796,THP1XTN5IN - 8958570
79665620,7414765,23200.0,35306,26/08/2025,98635,,,,,,22953.89,0.0,0.0,246.11,26/08/2025 4:16am,,,63796,THQ1YFMUJB - 7414765
79668321,7414765,1410.58,35306,26/08/2025,98635,,,,,,1410.58,0.0,0.0,0.0,26/08/2025 6:14am,,,63796,THQ9YVT50Z - 7414765
79674503,7737022,12000.0,35306,26/08/2025,98635,,,,,,1646.4,5800.0,3000.0,1553.6,26/08/2025 7:26am,,,63796,THQ0Y8GF2K - 7737022
79715953,8261855,111754.0,35306,26/08/2025,98635,,,,,,91354.0,14400.0,6000.0,0.0,26/08/2025 9:55am,,,63796,THQ2ZW1GCG - 8261855
79715954,8261857,15848.0,35306,26/08/2025,98635,,,,,,12872.0,2576.0,400.0,0.0,26/08/2025 9:55am,,,63796,THQ2ZW1GCG - 8261857
79715955,8692562,22398.0,35306,26/08/2025,98635,,,,,,20000.0,2398.0,0.0,0.0,26/08/2025 9:55am,,,63796,THQ2ZW1GCG - 8692562
79716372,8261855,28646.0,35306,26/08/2025,98635,,,,,,28646.0,0.0,0.0,0.0,26/08/2025 9:56am,,,63796,THQ7ZWBKZ9 - 8261855
79716393,8261857,7920.0,35306,26/08/2025,98635,,,,,,6432.0,1288.0,200.0,0.0,26/08/2025 9:56am,,,63796,THQ7ZWBKZ9 - 8261857
79731389,7093018,36792.91,35306,26/08/2025,98635,,,,,,22833.33,10960.0,2999.58,0.0,26/08/2025 11:16am,,,63796,THQ81AHCEO - 7093018
79731390,8524400,23207.09,35306,26/08/2025,98635,,,,,,16007.13,7199.96,0.0,0.0,26/08/2025 11:16am,,,63796,THQ81AHCEO - 8524400
79749054,8812594,2000.0,35306,26/08/2025,98635,,,,,,0.0,0.0,1300.0,700.0,26/08/2025 1:25pm,,,63796,THQ91WM8KV - 8812594
